기간	자치구	동	합계	합계	합계	국민기초생활보장수급권자	국민기초생활보장수급권자	국민기초생활보장수급권자	저소득노인	저소득노인	저소득노인	일반	일반	일반	비고
2018	관악구	청림동	611	439	172	126	83	43	22	16	6	463	340	123	-
2018	관악구	행운동	983	762	221	187	135	52	37	29	8	759	598	161	-
2018	관악구	낙성대동	496	381	115	58	42	16	13	11	2	425	328	97	-
2018	관악구	중앙동	617	482	135	110	90	20	23	18	5	484	374	110	-
2018	관악구	인헌동	755	600	155	77	56	21	27	18	9	651	526	125	-
2018	관악구	남현동	441	357	84	47	33	14	17	13	4	377	311	66	-
2018	관악구	서원동	662	530	132	98	77	21	19	12	7	545	441	104	-
2018	관악구	신원동	814	631	183	146	116	30	45	20	25	623	495	128	-
2018	관악구	서림동	742	567	175	107	80	27	18	11	7	617	476	141	-
2018	관악구	신사동	794	626	168	146	103	43	35	24	11	613	499	114	-
2018	관악구	신림동	526	414	112	88	68	20	14	11	3	424	335	89	-
2018	관악구	난향동	531	393	138	88	62	26	23	15	8	420	316	104	-
2018	관악구	조원동	626	462	164	93	64	29	26	17	9	507	381	126	-
2018	관악구	대학동	602	457	145	73	59	14	20	13	7	509	385	124	-
2018	관악구	은천동	1,191	947	244	261	197	64	51	37	14	879	713	166	-
2018	관악구	성현동	1,217	914	303	275	189	86	43	24	19	899	701	198	-
2018	관악구	청룡동	996	790	206	149	124	25	51	34	17	796	632	164	-
2018	관악구	난곡동	1,265	998	267	274	193	81	44	32	12	947	773	174	-
2018	관악구	삼성동	1,464	1,095	369	319	224	95	88	55	33	1,057	816	241	-
2018	관악구	미성동	1,095	863	232	177	135	42	45	30	15	873	698	175	-
2018	서초구	소계	9,506	6,862	2,644	811	568	243	119	81	38	8,576	6,213	2,363	-
2018	서초구	서초1동	461	314	147	55	27	28	3	2	1	403	285	118	-
2018	서초구	서초2동	334	238	96	14	11	3	-	-	-	320	227	93	-
2018	서초구	서초3동	680	510	170	47	32	15	8	6	2	625	472	153	-
2018	서초구	서초4동	456	313	143	3	2	1	1	1	-	452	310	142	-
2018	서초구	잠원동	758	505	253	46	32	14	3	3	-	709	470	239	-
2018	서초구	반포본동	267	178	89	-	-	-	-	-	-	267	178	89	-
2018	서초구	반포1동	542	408	134	59	48	11	3	3	-	480	357	123	-
2018	서초구	반포2동	380	266	114	4	2	2	1	-	1	375	264	111	-
2018	서초구	반포3동	370	235	135	3	3	-	-	-	-	367	232	135	-
2018	서초구	반포4동	384	263	121	6	3	3	3	2	1	375	258	117	-
2018	서초구	방배본동	425	296	129	26	22	4	6	5	1	393	269	124	-
2018	서초구	방배1동	425	306	119	53	38	15	3	2	1	369	266	103	-
2018	서초구	방배2동	804	615	189	79	56	23	14	10	4	711	549	162	-
2018	서초구	방배3동	560	395	165	47	29	18	4	4	-	509	362	147	-
2018	서초구	방배4동	603	441	162	40	26	14	7	4	3	556	411	145	-
2018	서초구	양재1동	1,037	781	256	204	150	54	43	23	20	790	608	182	-
2018	서초구	양재2동	539	432	107	74	53	21	11	8	3	454	371	83	-
2018	서초구	내곡동	481	366	115	51	34	17	9	8	1	421	324	97	-
2018	강남구	소계	11,749	8,405	3,344	1,840	1,285	555	2,973	2,232	741	6,936	4,888	2,048	-
2018	강남구	신사동	429	259	170	25	18	7	51	32	19	353	209	144	-
2018	강남구	논현1동	536	403	133	60	47	13	148	123	25	328	233	95	-
2018	강남구	논현2동	468	330	138	48	38	10	106	81	25	314	211	103	-
2018	강남구	삼성1동	289	101	188	17	11	6	42	28	14	230	62	168	-
2018	강남구	삼성2동	491	364	127	48	34	14	89	64	25	354	266	88	-
2018	강남구	대치1동	164	114	50	-	-	-	11	7	4	153	107	46	-
2018	강남구	대치4동	358	290	68	53	37	16	119	101	18	186	152	34	-
2018	강남구	역삼1동	717	557	160	80	57	23	224	175	49	413	325	88	-
2018	강남구	역삼2동	491	368	123	30	22	8	105	79	26	356	267	89	-
2018	강남구	도곡1동	348	259	89	22	17	5	69	50	19	257	192	65	-
2018	강남구	도곡2동	549	379	170	5	4	1	58	36	22	486	339	147	-
2018	강남구	개포1동	325	244	81	42	25	17	152	128	24	131	91	40	-
2018	강남구	개포4동	386	291	95	74	49	25	137	108	29	175	134	41	-
2018	강남구	일원본동	408	257	151	5	4	1	72	42	30	331	211	120	-
2018	강남구	일원1동	746	568	178	226	145	81	315	236	79	205	187	18	-
2018	강남구	일원2동	758	596	162	222	159	63	291	229	62	245	208	37	-
2018	강남구	수서동	1,343	1,018	325	613	419	194	404	335	69	326	264	62	-
2018	강남구	세곡동	954	597	357	182	133	49	320	206	114	452	258	194	-
2018	강남구	압구정동	705	456	249	19	12	7	63	37	26	623	407	216	-
2018	강남구	청담동	551	407	144	28	21	7	88	62	26	435	324	111	-
2018	강남구	대치2동	451	333	118	25	20	5	56	43	13	370	270	100	-
2018	강남구	개포2동	282	214	68	16	13	3	53	30	23	213	171	42	-
2018	송파구	소계	14,410	11,097	3,313	2,312	1,608	704	669	384	285	11,429	9,105	2,324	-
2018	송파구	풍납1동	616	479	137	127	88	39	26	14	12	463	377	86	-
2018	송파구	풍납2동	726	553	173	81	65	16	48	24	24	597	464	133	-
2018	송파구	거여1동	419	335	84	133	95	38	22	9	13	264	231	33	-
2018	송파구	거여2동	686	534	152	174	129	45	53	36	17	459	369	90	-
2018	송파구	마천1동	955	754	201	149	100	49	24	7	17	782	647	135	-
2018	송파구	마천2동	1,061	818	243	205	137	68	54	33	21	802	648	154	-
2018	송파구	방이1동	282	202	80	24	18	6	17	9	8	241	175	66	-
2018	송파구	방이2동	724	578	146	126	94	32	47	22	25	551	462	89	-
2018	송파구	오륜동	233	142	91	1	-	1	1	-	1	231	142	89	-
2018	송파구	오금동	962	719	243	162	104	58	56	26	30	744	589	155	-
2018	송파구	송파1동	544	451	93	73	53	20	13	8	5	458	390	68	-
2018	송파구	송파2동	328	236	92	47	33	14	5	3	2	276	200	76	-
2018	송파구	석촌동	925	740	185	224	149	75	46	33	13	655	558	97	-
2018	송파구	삼전동	790	616	174	190	121	69	30	23	7	570	472	98	-
2018	송파구	가락본동	568	464	104	105	77	28	27	15	12	436	372	64	-
2018	송파구	가락1동	6	3	3	-	-	-	-	-	-	6	3	3	-
2018	송파구	가락2동	473	352	121	56	43	13	19	17	2	398	292	106	-
2018	송파구	문정1동	346	275	71	51	36	15	26	19	7	269	220	49	-
2018	송파구	문정2동	339	245	94	13	12	1	1	1	-	325	232	93	-
2018	송파구	장지동	735	557	178	161	104	57	38	21	17	536	432	104	-
2018	송파구	위례동	243	186	57	55	32	23	12	10	2	176	144	32	-
2018	송파구	잠실본동	686	547	139	117	92	25	77	39	38	492	416	76	-
2018	송파구	잠실4동	313	239	74	15	11	4	15	8	7	283	220	63	-
2018	송파구	잠실6동	271	196	75	4	2	2	1	-	1	266	194	72	-
2018	송파구	잠실7동	214	128	86	4	3	1	2	-	2	208	125	83	-
2018	송파구	잠실2동	404	321	83	5	2	3	5	4	1	394	315	79	-
2018	송파구	잠실3동	561	427	134	10	8	2	4	3	1	547	416	131	-
2018	강동구	소계	12,524	9,690	2,834	2,304	1,694	610	780	530	250	9,440	7,466	1,974	-
2018	강동구	강일동	536	423	113	176	164	12	152	144	8	208	115	93	-
2018	강동구	상일동	336	264	72	48	37	11	15	8	7	273	219	54	-
2018	강동구	명일1동	510	363	147	64	44	20	17	9	8	429	310	119	-
2018	강동구	명일2동	233	160	73	48	29	19	25	15	10	160	116	44	-
2018	강동구	고덕1동	317	168	149	83	45	38	7	5	2	227	118	109	-
2018	강동구	고덕2동	381	260	121	119	68	51	46	29	17	216	163	53	-
2018	강동구	암사2동	315	251	64	25	17	8	2	1	1	288	233	55	-
2018	강동구	암사3동	275	219	56	33	20	13	14	8	6	228	191	37	-
2018	강동구	천호1동	1,128	861	267	225	173	52	57	37	20	846	651	195	-
2018	강동구	천호3동	1,265	1,001	264	334	253	81	90	65	25	841	683	158	-
2018	강동구	성내1동	420	358	62	34	26	8	8	3	5	378	329	49	-
2018	강동구	성내2동	932	756	176	138	102	36	47	36	11	747	618	129	-
2018	강동구	성내3동	630	503	127	65	44	21	30	15	15	535	444	91	-
2018	강동구	둔촌1동	-	-	-	-	-	-	-	-	-	-	-	-	이주
2018	강동구	둔촌2동	741	565	176	74	58	16	33	18	15	634	489	145	-
2018	강동구	암사1동	1,191	940	251	249	169	80	62	24	38	880	747	133	-
2018	강동구	천호2동	1,971	1,540	431	414	314	100	104	70	34	1,453	1,156	297	-
2018	강동구	길동	1,343	1,058	285	175	131	44	71	43	28	1,097	884	213	-
